" box (fp-tol=0.2)"
0 0.247683604558
5 0.381086905797
10 0.489565372467
15 0.676297028859
20 0.971049070358
25 0.957558075587
30 1.15771508217
35 1.43028593063
40 2.44858598709
45 2.78924489021
50 3.29356884956
55 3.86635613441


" box (fp-tol=0.02)"
0 0.655297358831
5 2.1016998291
10 3.2309589386
15 4.29720187187
20 6.48278522491
25 6.7998688221
30 9.30304980278
35 13.2773420811
40 23.1631469727
45 25.9527111053
50 29.8652191162
55 33.6109628677
56 35.7826550007


" oct (fp-tol=0.5)"
0 1.07544898987
5 1.70101118088
10 3.19528412819
15 4.31851291656
20 4.39798402786
25 6.95622611046
30 8.77775883675
35 11.0704538822
40 10.774900198
45 14.025496006
50 17.804557085
55 14.4695179462


" oct (fp-tol=0.2)"
0 1.62370896339
5 3.39274907112
10 6.28852295876
15 6.81143021584
20 14.8151459694
25 11.4205758572
30 17.0934209824
35 20.9856541157
40 34.9222638607
45 36.8893949986
50 45.7220308781
55 55.6775271893
56 41.926970005
57 49.4493668079


