" box (fp-tol=0.2)"
0 0.132003307343
5 0.142957687378
10 0.150137424469
15 0.15789437294
20 0.164372046789
21 0.166156053543
22 0.172945737839
23 0.176200707753
24 0.179572900136


" box (fp-tol=0.01)"
0 0.365901708603
5 0.416361014048
10 0.471412022909
15 0.528345028559
20 0.5871322155
25 0.772023359934


" oct (fp-tol=0.2)"
0 0.620130062103
5 0.773840109507
10 0.882690270742
15 1.02943968773
20 1.23028588295
25 1.76596864065
26 2.08922036489
27 2.3168563048
28 2.68139735858
29 3.0765953064


" oct (fp-tol=0.01)"
0 2.51334897677
5 3.51392873128
10 4.8620874087
15 6.94503299395
20 9.68513568242
25 14.7001419067
30 53.1511540413


